yourlist:M20180720A7434721E10EE6586998A056CCD0537E950530A	isomap:M20180720A7434721E10EE6586998A056CCD0537E950530A	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
y1634		A0A0H2W4W9	A0A0H2W4W9_YERPE	unreviewed	NADH-quinone oxidoreductase subunit F (EC 1.6.5.11)	nuoF y1634 YP_2362 C6P89_16690	Yersinia pestis	WP_002210276.1;
y1635		Q8ZDL2	NUOG_YERPE	reviewed	NADH-quinone oxidoreductase subunit G (EC 1.6.5.11) (NADH dehydrogenase I subunit G) (NDH-1 subunit G)	nuoG YPO2550 y1635 YP_2361	Yersinia pestis	WP_002210275.1;YP_002347511.1;
y1637		Q7CJ89	NUOI_YERPE	reviewed	NADH-quinone oxidoreductase subunit I (EC 1.6.5.11) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	nuoI YPO2548 y1637 YP_2359	Yersinia pestis	WP_002210273.1;YP_002347509.1;
y1677		Q7CJ65	DPS_YERPE	reviewed	DNA protection during starvation protein (EC 1.16.-.-)	dps YPO2510 y1677 YP_2325	Yersinia pestis	WP_002210233.1;YP_002347474.1;
y1794		A0A1U8QPT1	A0A1U8QPT1_YERPE	unreviewed	Transcriptional regulatory protein	phoP y1794	Yersinia pestis	WP_002210917.1;
y1845		A0A0H2W4E7	A0A0H2W4E7_YERPE	unreviewed	N-acetylmuramoyl-L-alanine amidase (Putative N-acetylmuramoyl-L-alanine amidase) (Putative regulator)	ampD3 y1845 YP_1812 C6P89_05580	Yersinia pestis	WP_002210870.1;
y1935		Q0WEC0	Q0WEC0_YERPE	unreviewed	Fe-S cluster assembly protein SufB (Putative membrane components of an uncharacterized iron-regulated ABC-type transporter SufB)	y1935 YP_2190 C6P89_12100	Yersinia pestis	WP_002211808.1;
y1936		Q8D0M8	Q8D0M8_YERPE	unreviewed	Putative ATP-binding component of a transport system (Putative ATP-dependent transporter)	y1936 YP_2189	Yersinia pestis	
y1980		Q0WEH0	Q0WEH0_YERPE	unreviewed	Phage shock protein A (Phage shock protein PspA)	pspA y1980 YP_2139 C6P89_21580	Yersinia pestis	WP_002210975.1;
y2023		Q8D0K2	Q8D0K2_YERPE	unreviewed	Aldehyde-alcohol dehydrogenase	adhE y2023	Yersinia pestis	WP_002223614.1;
y2168		Q0WF09	Q0WF09_YERPE	unreviewed	PrkA family serine protein kinase	y2168 C6P89_14260	Yersinia pestis	WP_002211681.1;
y2295		Q8ZEY2	KPRS_YERPE	reviewed	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs prsA YPO2013 y2295 YP_1861	Yersinia pestis	WP_002211240.1;YP_002346999.1;
y2402		Q8D0C3	Q8D0C3_YERPE	unreviewed	Yersiniabactin thioesterase	ybtT y2402	Yersinia pestis	
y2455		Q8D0B6	Q8D0B6_YERPE	unreviewed	Bifunctional protein PutA [Includes: Proline dehydrogenase (EC 1.5.5.2) (Proline oxidase); Delta-1-pyrroline-5-carboxylate dehydrogenase (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)]	putA y2455 C6P89_03550	Yersinia pestis	WP_002224448.1;
y2551		Q0WG31	Q0WG31_YERPE	unreviewed	PTS enzyme IIAB, mannose-specific (PTS mannose transporter subunit IIAB)	manX y2551 C6P89_04490	Yersinia pestis	WP_002211069.1;
y2739		Q0WGY5	Q0WGY5_YERPE	unreviewed	Endopeptidase La (EC 3.4.21.53)	y2739 C6P89_22160	Yersinia pestis	WP_002228003.1;
y2766		Q8D049	MUKE_YERPE	reviewed	Chromosome partition protein MukE	mukE YPO1404 y2766 YP_1189	Yersinia pestis	YP_002346427.1;
y2809		Q8D041	Q8D041_YERPE	unreviewed	ATP-binding component of serine protease (ATP-dependent Clp protease ATP-binding subunit)	clpA clpA1 y2809 YP_1225	Yersinia pestis	
y3065		Q8ZH00	SUCC_YERPE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC YPO1115 y3065 YP_1041	Yersinia pestis	WP_002210728.1;YP_002346158.1;
y3066		A0A0H2W3J8	A0A0H2W3J8_YERPE	unreviewed	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2)	sucB y3066 YP_1042 C6P89_18685	Yersinia pestis	WP_002210727.1;
y3068		Q0WHT3	Q0WHT3_YERPE	unreviewed	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	sdhB y3068 YP_1044 C6P89_18695	Yersinia pestis	WP_002210725.1;
y3069		Q0WHT4	Q0WHT4_YERPE	unreviewed	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)	sdhA y3069 YP_1045 C6P89_18700	Yersinia pestis	WP_002210724.1;
y3123		Q8ZH56	LPXA_YERPE	reviewed	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	lpxA YPO1056 y3123 YP_2794	Yersinia pestis	WP_002212143.1;YP_002346099.1;
y3124		Q8ZH57	FABZ_YERPE	reviewed	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)	fabZ YPO1055 y3124 YP_2795	Yersinia pestis	WP_002212142.1;YP_002346098.1;
y3126		P58607	SKP_YERPE	reviewed	Chaperone protein Skp	skp ompH YPO1053 y3126 YP_2797	Yersinia pestis	WP_002212140.1;YP_002346096.1;
y3219		Q0WIK3	Q0WIK3_YERPE	unreviewed	PTS family enzyme IIB component 2 (EIIB-AGA) (PTS system mannose/fructose/N-acetylgalactosamine-transporter subunit IIB) (Putative PTS transport protein)	agaV manX2 y3219 YP_3530 C6P89_10585	Yersinia pestis	WP_002209878.1;
y3295		Q8CZW2	Q8CZW2_YERPE	unreviewed	Putative monooxygenase	visC y3295 YP_3605	Yersinia pestis	
y3555		Q0WJ46	Q0WJ46_YERPE	unreviewed	Aminotransferase (EC 2.6.1.-)	avtA2 y3555 YP_2940 C6P89_01415	Yersinia pestis	WP_002210373.1;
y3590		Q0WJ78	RLMG_YERPE	reviewed	Ribosomal RNA large subunit methyltransferase G (EC 2.1.1.174) (23S rRNA m2G1835 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RlmG)	rlmG YPO0588 y3590 YP_2908	Yersinia pestis	WP_002210402.1;YP_002345660.1;
y3609		A0A0H2W6M3	A0A0H2W6M3_YERPE	unreviewed	DUF883 domain-containing protein (Putative membrane protein)	y3609 YP_2890 C6P89_20560	Yersinia pestis	WP_002210418.1;
y3617		Q7CGB6	SECA_YERPE	reviewed	Protein translocase subunit SecA	secA YPO0564 y3617 YP_3620	Yersinia pestis	WP_002210426.1;YP_002345635.1;
y3621		Q0WJA7	Q0WJA7_YERPE	unreviewed	Cell division protein FtsZ	ftsZ y3621 C6P89_18400	Yersinia pestis	WP_002210430.1;
y3657		Q8CKE0	Q8CKE0_YERPE	unreviewed	Uncharacterized protein	y3657 YP_3663	Yersinia pestis	
y3669		Q0WJF9	Q0WJF9_YERPE	unreviewed	Putative ATP-dependent protease (Putative Clp ATPase) (Type VI secretion system ATPase TssH)	clpB2 clpV y3669 YP_3673 C6P89_08675	Yersinia pestis	WP_002214742.1;
y3753		Q7CG56	RSMC_YERPE	reviewed	Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.172) (16S rRNA m2G1207 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RsmC)	rsmC YPO0427 y3753 YP_3754	Yersinia pestis	WP_002209206.1;YP_002345503.1;
y3773		Q7CG47	LSRF_YERPE	reviewed	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase (EC 2.3.1.245)	lsrF YPO0408 y3773 YP_3773	Yersinia pestis	WP_002209188.1;YP_002345485.1;
y3859		Q8ZA49	USPA_YERPE	reviewed	Universal stress protein A	uspA YPO3970 y3859 YP_3333	Yersinia pestis	WP_002209528.1;YP_002348841.1;
y3916		A0A0H2W212	A0A0H2W212_YERPE	unreviewed	Response regulator (Sensor, EnvZ) (Transcriptional regulatory protein) (Two-component system response regulator OmpR)	ompR1 ompR y3916 YP_0137 C6P89_04765	Yersinia pestis	WP_002208914.1;
y4101		Q8Z9V6	IBPB_YERPE	reviewed	Small heat shock protein IbpB (16 kDa heat shock protein B)	ibpB YPO4084 y4101 YP_3993	Yersinia pestis	WP_002209635.1;YP_002348938.1;
y4127		Q8CZF8	Q8CZF8_YERPE	unreviewed	Phosphate-specific transport system accessory protein PhoU	phoU y4127 YP_4020 C6P89_11660	Yersinia pestis	WP_002220747.1;
y4133		Q8Z9S7	GLMU_YERPE	reviewed	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU YPO4119 y4133 YP_4026	Yersinia pestis	WP_002215550.1;YP_002348970.1;
y4134		P58647	ATPE_YERPE	reviewed	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC YPO4120 y4134 YP_4027	Yersinia pestis	WP_002215546.1;YP_002348971.1;
y4135		Q7CFM8	ATPB_YERPE	reviewed	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD YPO4121 y4135 YP_4028	Yersinia pestis	WP_002220753.1;YP_002348972.1;
y4136		Q8Z9S5	ATPG_YERPE	reviewed	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG YPO4122 y4136 YP_4029	Yersinia pestis	WP_002220756.1;YP_002348973.1;
y4137		Q8Z9S4	ATPA_YERPE	reviewed	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA YPO4123 y4137 YP_4030	Yersinia pestis	WP_002220758.1;YP_002348974.1;
y4138		Q7CFM5	ATPD_YERPE	reviewed	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	atpH YPO4124 y4138 YP_4031	Yersinia pestis	WP_002220760.1;YP_002348975.1;
y4139		Q7CFM4	ATPF_YERPE	reviewed	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)	atpF YPO4125 y4139 YP_4032	Yersinia pestis	WP_002220762.1;YP_002348976.1;
y0294		Q8ZJJ5	HSLU_YERPE	reviewed	ATP-dependent protease ATPase subunit HslU (Unfoldase HslU)	hslU YPO0105 y0294 YP_0107	Yersinia pestis	WP_002208943.1;YP_002345195.1;
y0609		Q8ZIY3	CH60_YERPE	reviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL mopA YPO0351 y0609 YP_0506	Yersinia pestis	WP_002209128.1;YP_002345429.1;
y0651		A0A0H2W363	A0A0H2W363_YERPE	unreviewed	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	fklB y0651 YP_0551 C6P89_02295	Yersinia pestis	WP_002228198.1;
y0687		Q8D1D2	Q8D1D2_YERPE	unreviewed	Transcription termination/antitermination protein NusA	nusA y0687	Yersinia pestis	
y0694		Q0WBF9	PNP_YERPE	reviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp YPO3490 y0694 YP_0593	Yersinia pestis	WP_002209259.1;YP_002348379.1;
y0807		Q0WBR4	Q0WBR4_YERPE	unreviewed	Periplasmic serine endoprotease DegP-like (EC 3.4.21.107)	htrA gsrA y0807 YP_0303 C6P89_00525	Yersinia pestis	WP_002209370.1;
y0815		Q8D1A0	Q8D1A0_YERPE	unreviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	sodC y0815	Yersinia pestis	WP_002209378.1;
y0988		Q0WC89	Q0WC89_YERPE	unreviewed	Peroxiredoxin (Putative alkyl hydroperoxide reductase subunit c) (Putative peroxidase)	ahpC y0988 YP_0737 C6P89_06180	Yersinia pestis	WP_002208675.1;
y1026		A0A1U8QKQ0	A0A1U8QKQ0_YERPE	unreviewed	Uncharacterized protein	Y1026 YP_pMT029 C6P89_16095	Yersinia pestis	WP_002211790.1;YP_093905.1;
y1026		Q8ZC64	TIG_YERPE	reviewed	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig YPO3158 y1026 YP_0773	Yersinia pestis	WP_002208643.1;YP_002348063.1;
y1029		A0A1U8QL38	A0A1U8QL38_YERPE	unreviewed	DNA-binding protein	Y1029 C6P89_16080	Yersinia pestis	NP_857661.1;WP_002211788.1;YP_093902.1;
y1029		Q8D154	Q8D154_YERPE	unreviewed	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon y1029	Yersinia pestis	
y1239		Q9ZFR9	URE1_YERPE	reviewed	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	ureC YPO2667 y1239 YP_2468	Yersinia pestis	WP_002212229.1;YP_002347616.1;
y1363		Q8ZCU4	GUAA_YERPE	reviewed	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	guaA YPO2870 y1363 YP_2736	Yersinia pestis	WP_002209807.1;YP_002347805.1;
y1620		Q7CJ96	PTA_YERPE	reviewed	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	pta YPO2567 y1620 YP_2378	Yersinia pestis	WP_002225867.1;YP_002347528.1;
y2394		A0A1U8QXA0	A0A1U8QXA0_YERPE	unreviewed	Anthranilate synthase	ybtS y2394	Yersinia pestis	WP_000703040.1;
y2399		Q0WFN6	Q0WFN6_YERPE	unreviewed	HMWP2 nonribosomal peptide synthetase (Non-ribosomal peptide synthetase)	irp2 y2399 C6P89_10095	Yersinia pestis	WP_002212775.1;
y2400		A0A1U8QLS0	A0A1U8QLS0_YERPE	unreviewed	HMWP1 nonribosomal peptide/polyketide synthase	irp1 y2400	Yersinia pestis	WP_002212777.1;
y2401		Q8D0C4	Q8D0C4_YERPE	unreviewed	Thiazolinyl-S-HMWP1 reductase (Yersiniabactin biosynthetic protein YbtU)	ybtU y2401 YP_1652	Yersinia pestis	
y2403		A0A1U8QEL9	A0A1U8QEL9_YERPE	unreviewed	(2,3-dihydroxybenzoyl)adenylate synthase (Salicyl-AMP ligase) (Yersiniabactin siderophore biosynthetic protein)	ybtE y2403 YP_1650 C6P89_10075	Yersinia pestis	WP_001088826.1;
y3055		Q8ZGZ1	TOLB_YERPE	reviewed	Tol-Pal system protein TolB	tolB YPO1124 y3055 YP_1032	Yersinia pestis	WP_002210738.1;YP_002346167.1;
y3067		A0A0H2W1U8	A0A0H2W1U8_YERPE	unreviewed	2-oxoglutarate dehydrogenase (Decarboxylase component) (2-oxoglutarate dehydrogenase E1 component)	sucA y3067 YP_1043 C6P89_18690	Yersinia pestis	WP_002210726.1;
y3314		Q8ZHG7	METK_YERPE	reviewed	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK YPO0931 y3314 YP_3512	Yersinia pestis	WP_002209971.1;YP_002345978.1;
y3673		A0A0H2W7S3	A0A0H2W7S3_YERPE	unreviewed	Type VI secretion system tube protein Hcp	y3673 YP_3677 C6P89_08655	Yersinia pestis	WP_002210479.1;
y3706		Q8ZIM7	DNAK_YERPE	reviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK YPO0468 y3706 YP_3712	Yersinia pestis	WP_002209248.1;YP_002345540.1;
y3985		Q8ZJB3	EFG_YERPE	reviewed	Elongation factor G (EF-G)	fusA YPO0202 y3985 YP_0201	Yersinia pestis	WP_002212325.1;YP_002345284.1;
y3986		Q8ZJB2	EFTU1_YERPE	reviewed	Elongation factor Tu-A (EF-Tu-A)	tufA YPO0203 y3986 YP_0202	Yersinia pestis	WP_002212326.1;YP_002345285.1;
y4015		Q8ZJ87	RPOA_YERPE	reviewed	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA YPO0234 y4015 YP_0232	Yersinia pestis	WP_002209013.1;YP_002345315.1;
Y1069		Q8D148	Q8D148_YERPE	unreviewed	Putative CDP-D-glucose-4,6-dehydratase	y1069	Yersinia pestis	WP_002215987.1;
y0048		P69959	LCRR_YERPE	reviewed	Low calcium response locus protein R	lcrR YPCD1.33c y5045 y0048 YP_pCD50	Yersinia pestis	NP_395167.1;NP_857749.1;NP_857944.1;WP_002220918.1;
y0048		Q8CLW7	Q8CLW7_YERPE	unreviewed	Fructose-1,6-bisphosphatase	glpX y0048 YP_0093	Yersinia pestis	
y0161		Q8ZB39	PYRB_YERPE	reviewed	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	pyrB YPO3588 y0161 YP_3842	Yersinia pestis	WP_002210111.1;YP_002348473.1;
y0223		Q8D1N6	Q8D1N6_YERPE	unreviewed	Cold shock-like protein	cspI y0223	Yersinia pestis	
y0244		Q8ZB04	SSUD_YERPE	reviewed	Alkanesulfonate monooxygenase (EC 1.14.14.5) (FMNH2-dependent aliphatic sulfonate monooxygenase)	ssuD YPO3625 y0244 YP_3922	Yersinia pestis	WP_002210034.1;YP_002348510.1;
y0303		A0A0H2W0Y3	A0A0H2W0Y3_YERPE	unreviewed	Bifunctional aspartokinase/homoserine dehydrogenase [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	metL metM y0303 YP_0118 C6P89_18995	Yersinia pestis	WP_002208934.1;
y0308		Q8ZA84	CAPP_YERPE	reviewed	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppc YPO3929 y0308 YP_3121	Yersinia pestis	WP_002209491.1;YP_002348802.1;
y0345		Q8ZAC2	ILVC_YERPE	reviewed	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II)	ilvC YPO3888 y0345 YP_3158	Yersinia pestis	WP_002212007.1;YP_002348764.1;
y0361		Q0WAE3	Q0WAE3_YERPE	unreviewed	Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho)	rho y0361 YP_3178 C6P89_10325	Yersinia pestis	WP_002211989.1;
y0366		Q8D1K5	Q8D1K5_YERPE	unreviewed	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	rffG y0366 YP_3183	Yersinia pestis	
y0401		Q8D1J6	Q8D1J6_YERPE	unreviewed	Putative haloacid dehalogenase-like hydrolase	cof3 y0401 YP_3219	Yersinia pestis	
y0483		Q8ZAP4	RL7_YERPE	reviewed	50S ribosomal protein L7/L12	rplL YPO3748 y0483 YP_3111	Yersinia pestis	WP_002210675.1;YP_002348628.1;
y0484		Q8ZAP5	RPOB_YERPE	reviewed	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB YPO3747 y0484 YP_3110	Yersinia pestis	WP_002210676.1;YP_002348627.1;
y0485		Q8D1H3	RPOC_YERPE	reviewed	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC YPO3746 y0485 YP_3109	Yersinia pestis	WP_002210677.1;YP_002348626.1;
y0557		A0A0H2W1N6	A0A0H2W1N6_YERPE	unreviewed	Putative tellurium resistance protein (Tellurite resistance protein) (Tellurium resistance protein TerB)	terB y0557 YP_0454 C6P89_09055	Yersinia pestis	WP_002209076.1;
y0638		Q8ZIV4	RLMB_YERPE	reviewed	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB (EC 2.1.1.185) (23S rRNA (guanosine2251 2'-O)-methyltransferase) (23S rRNA Gm2251 2'-O-methyltransferase)	rlmB spoU YPO0381 y0638 YP_0537	Yersinia pestis	WP_002209161.1;YP_002345459.1;
y0645		Q8ZB81	RS6_YERPE	reviewed	30S ribosomal protein S6	rpsF YPO3539 y0645 YP_0542	Yersinia pestis	WP_002210153.1;YP_002348428.1;
y0647		Q8ZB84	RL9_YERPE	reviewed	50S ribosomal protein L9	rplI YPO3536 y0647 YP_0545	Yersinia pestis	WP_002210156.1;YP_002348425.1;
y0668		P61892	MDH_YERPE	reviewed	Malate dehydrogenase (EC 1.1.1.37)	mdh YPO3516 y0668 YP_0567	Yersinia pestis	WP_002210174.1;YP_002348405.1;
y0672		Q0WBD7	RL21_YERPE	reviewed	50S ribosomal protein L21	rplU YPO3512 y0672 YP_0571	Yersinia pestis	WP_002210178.1;YP_002348401.1;
y0688		Q8ZBC2	IF2_YERPE	reviewed	Translation initiation factor IF-2	infB YPO3496 y0688 YP_0587	Yersinia pestis	WP_002223151.1;YP_002348385.1;
y0689		Q8ZBC3	RBFA_YERPE	reviewed	Ribosome-binding factor A	rbfA YPO3495 y0689 YP_0588	Yersinia pestis	WP_002209255.1;YP_002348384.1;
y0784		Q8ZBK6	PAND_YERPE	reviewed	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	panD YPO3403 y0784 YP_0282	Yersinia pestis	WP_002209347.1;YP_002348295.1;
y0785		Q8ZBK7	PANC_YERPE	reviewed	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC YPO3402 y0785 YP_0283	Yersinia pestis	WP_002209348.1;YP_002348294.1;
y0814		Q8ZBN2	ENO_YERPE	reviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno YPO3376 y0814 YP_0310	Yersinia pestis	WP_002209377.1;YP_002348268.1;
y0843		Q8D193	Q8D193_YERPE	unreviewed	Putative transcriptional regulator	y0843	Yersinia pestis	
y0881		P37858	RECA_YERPE	reviewed	Protein RecA (Recombinase A)	recA YPO3307 y0881 YP_0379	Yersinia pestis	WP_002209446.1;YP_002348203.1;
y0892		Q0WBZ6	Q0WBZ6_YERPE	unreviewed	Signal recognition particle protein (Fifty-four homolog)	ffh y0892 YP_0389 C6P89_00060	Yersinia pestis	WP_002209456.1;
y0895		Q8ZBU8	RIMM_YERPE	reviewed	Ribosome maturation factor RimM	rimM YPO3294 y0895 YP_0392	Yersinia pestis	WP_002209459.1;YP_002348190.1;
y0904		A0A0H2W2V0	A0A0H2W2V0_YERPE	unreviewed	T-protein	tyrA y0904 YP_0399 C6P89_00015	Yersinia pestis	WP_002209465.1;
y0960		Q0WC56	Q0WC56_YERPE	unreviewed	Aminoacyl-histidine dipeptidase (Aminoacyl-histidine dipeptidase (Peptidase D)) (Beta-Ala-His dipeptidase)	pepD pepD1 y0960 YP_0703 C6P89_06030	Yersinia pestis	WP_002208707.1;
y1315		Q8D0Z8	Q8D0Z8_YERPE	unreviewed	Putative 2-component transcriptional regulator	y1315	Yersinia pestis	
y1331		A0A0H2W666	A0A0H2W666_YERPE	unreviewed	Inositol-1-monophosphatase (EC 3.1.3.25)	suhB y1331 YP_2555 C6P89_10985	Yersinia pestis	WP_002213305.1;
y1417		Q8D0Y3	Q8D0Y3_YERPE	unreviewed	Bacterioferritin comigratory protein	bcp y1417 YP_2686	Yersinia pestis	
y1487		A0A0H2W631	A0A0H2W631_YERPE	unreviewed	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)	ptsI y1487 YP_2619 C6P89_21120	Yersinia pestis	WP_002208490.1;
y1489		A0A0H2W5D6	A0A0H2W5D6_YERPE	unreviewed	Cysteine synthase (EC 2.5.1.47)	cysK2 cysK y1489 YP_2617 C6P89_21110	Yersinia pestis	WP_002222180.1;
y1507		Q0WCT9	Q0WCT9_YERPE	unreviewed	Putative aminotransferase	y1507	Yersinia pestis	WP_002211613.1;
y1777		A0A0H2W6L6	A0A0H2W6L6_YERPE	unreviewed	NAD(P)/FAD-dependent oxidoreductase (NADH dehydrogenase) (Respiratory NADH dehydrogenase)	ndh y1777 YP_2237 C6P89_21500	Yersinia pestis	WP_002213097.1;
y1876		Q0WG71	Q0WG71_YERPE	unreviewed	DNA-binding transcriptional regulator KdgR (IclR-family transcriptional regulatory protein) (Putative regulator)	kdgR y1876 YP_1739 C6P89_14660	Yersinia pestis	WP_002210840.1;
y1947		Q0WED2	Q0WED2_YERPE	unreviewed	Cyclopropane fatty acyl phospholipid synthase	cfa y1947	Yersinia pestis	WP_002210940.1;
y1990		Q8ZE42	TPX_YERPE	reviewed	Thiol peroxidase (Tpx) (EC 1.11.1.15) (Peroxiredoxin tpx) (Prx) (Thioredoxin peroxidase)	tpx YPO2342 y1990 YP_2129	Yersinia pestis	WP_002210984.1;YP_002347309.1;
y2067		Q0WEU1	Q0WEU1_YERPE	unreviewed	Lipopolysaccharide assembly protein B	lapB y2067 YP_2024 C6P89_01070	Yersinia pestis	WP_002210615.1;
y2101		A0A0H2W4D0	A0A0H2W4D0_YERPE	unreviewed	Oxidoreductase (Putative oxidoreductase)	mviM4 y2101 YP_2055 C6P89_00910	Yersinia pestis	WP_002210585.1;
y2132		Q8ZE82	FNR_YERPE	reviewed	Fumarate and nitrate reduction regulatory protein	fnr YPO2300 y2132 YP_2085	Yersinia pestis	WP_002211022.1;YP_002347267.1;
y2139		Q8D0H1	Q8D0H1_YERPE	unreviewed	Response transcriptional regulatory protein (RstB sensor) (Two-component regulatory system, response regulator protein)	rstA y2139 YP_2093	Yersinia pestis	
y2165		A0A0H2W614	A0A0H2W614_YERPE	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	gapA y2165 YP_1957 C6P89_14240	Yersinia pestis	WP_002211678.1;
y2175		Q0WF16	Q0WF16_YERPE	unreviewed	Putative sporulation protein (SpoVR family protein)	spoVR y2175 YP_1947 C6P89_14295	Yersinia pestis	WP_002211687.1;
y2238		Q8D0F5	Q8D0F5_YERPE	unreviewed	Inactive homologs of metal-dependent proteases, putative molecular chaperones	y2238 YP_1915	Yersinia pestis	
y2244		Q8D0F3	Q8D0F3_YERPE	unreviewed	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	zwf y2244 YP_1909	Yersinia pestis	
y2262		Q7CIB6	CMOB_YERPE	reviewed	tRNA U34 carboxymethyltransferase (EC 2.5.1.-)	cmoB YPO2049 y2262 YP_1892	Yersinia pestis	WP_002211208.1;YP_002347031.1;
y2290		Q8ZEX8	RF1_YERPE	reviewed	Peptide chain release factor 1 (RF-1)	prfA YPO2017 y2290 YP_1865	Yersinia pestis	WP_002211236.1;YP_002347003.1;
y2524		Q8D099	Q8D099_YERPE	unreviewed	Ferritin (EC 1.16.3.2)	ftn y2524	Yersinia pestis	
