Protein_ref	Protein_id
y2368	NP_669675.2
y2369	NP_669676.1
y2370	NP_669677.1
y2371	NP_669678.1
y2372	NP_669679.1
y2373	NP_669680.1
y2374	NP_669681.1
y2375	NP_669682.1
y2376	NP_669683.1
y2377	NP_669684.1
y2378	NP_669685.1
y2379	NP_669686.1
y2380	NP_669687.1
y2381	NP_669688.1
y2382	NP_669689.1
y2383	NP_669690.1
y2384	NP_669691.1
y2385	NP_669692.1
y2386	NP_669693.1
y2387	NP_669694.1
y2388	NP_669695.1
y2389	NP_669696.1
y2390	NP_669697.1
y2391	NP_669698.1
y2392	NP_669699.1
y2393	NP_669700.1
y2394	NP_669701.1
y2395	NP_669702.1
y2396	NP_669703.1
y2397	NP_669704.1
y2398	NP_669705.1
y2399	NP_669706.1
y2400	NP_669707.1
y2401	NP_669708.2
y2402	NP_669709.2
y2403	NP_669710.1
y2404	NP_669711.1
y2405	NP_669712.1
y2406	NP_669713.1
y2407	NP_669714.1
y2408	NP_669715.1
y2409	NP_669716.1
y2410	NP_669717.1
y2411	NP_669718.1
y2412	NP_669719.1
y2413	NP_669720.1
y2414	NP_669721.1
y2415	NP_669722.1
y2416	NP_669723.1
y2417	NP_669724.1
y2418	NP_669725.1
y2419	NP_669726.1
y2420	NP_669727.1
y2422	NP_669728.1
y2421	NP_669729.1
y2423	NP_669730.1
y2424	NP_669731.1
y2425	NP_669732.1
y2426	NP_669733.1
y2427	NP_669734.1
y2428	NP_669735.1
y2429	NP_669736.1
y2430	NP_669737.1
y2431	NP_669738.1
y2432	NP_669739.1
y2433	NP_669740.1
y2434	NP_669741.1
y2435	NP_669742.1
y2436	NP_669743.1
y2437	NP_669744.1
y2438	NP_669745.1
y2439	NP_669746.1
y2441	NP_669747.1
y2442	NP_669748.1
y2443	NP_669749.1
y2444	NP_669750.1
y2445	NP_669751.1
y2446	NP_669752.1
y2447	NP_669753.1
y2448	NP_669754.1
y2449	NP_669755.1
y2450	NP_669756.1
y2451	NP_669757.1
y2452	NP_669758.1
y2453	NP_669759.1
y2454	NP_669760.1
y2455	NP_669761.1
y2456	NP_669762.1
y2457	NP_669763.1
y2458	NP_669764.1
y2459	NP_669765.1
y2460	NP_669766.1
y2461	NP_669767.1
y2462	NP_669768.2
y2463	NP_669769.1
y2464	NP_669770.1
y2465	NP_669771.1
y2466	NP_669772.1
y2467	NP_669773.1
y2468	NP_669774.1
y2469	NP_669775.1
y2470	NP_669776.1
y2471	NP_669777.1
y2472	NP_669778.1
y2473	NP_669779.1
y2474	NP_669780.1
y2475	NP_669781.1
y2476	NP_669782.1
y2477	NP_669783.1
y2478	NP_669784.2
y2479	NP_669785.1
y2480	NP_669786.1
y2481	NP_669787.1
y2482	NP_669788.2
y2483	NP_669789.1
y2484	NP_669790.1
y2485	NP_669791.1
y2486	NP_669792.2
y2487	NP_669793.1
y2488	NP_669794.1
y2489	NP_669795.1
y2490	NP_669796.1
y2491	NP_669797.1
y2492	NP_669798.1
y2493	NP_669799.1
y2494	NP_669800.1
y2495	NP_669801.1
y2497	NP_669802.1
y2496	NP_669803.1
y2498	NP_669804.1
y2499	NP_669805.1
y2500	NP_669806.1
y2501	NP_669807.1
y2502	NP_669808.1
y2503	NP_669809.1
y2504	NP_669810.1
y2505	NP_669811.1
y2506	NP_669812.1
y2507	NP_669813.1
y2508	NP_669814.1
y2509	NP_669815.1
y2510	NP_669816.1
y2511	NP_669817.1
y2512	NP_669818.1
y2513	NP_669819.1
y2514	NP_669820.1
y2516	NP_669821.1
y2517	NP_669822.1
y2518	NP_669823.1
y2519	NP_669824.1
y2520	NP_669825.1
y2521	NP_669826.1
y2522	NP_669827.1
y2523	NP_669828.1
y2524	NP_669829.1
y2525	NP_669830.2
y2526	NP_669831.1
y2527	NP_669832.1
y2528	NP_669833.1
y2529	NP_669834.1
y2530	NP_669835.1
y2531	NP_669836.1
y2533	NP_669837.1
y2532	NP_669838.1
y2534	NP_669839.1
y2535	NP_669840.1
y2536	NP_669841.1
y2537	NP_669842.1
y2538	NP_669843.1
y2539	NP_669844.1
y2540	NP_669845.1
y2541	NP_669846.1
y2542	NP_669847.1
y2544	NP_669848.1
y2543	NP_669849.1
y2545	NP_669850.1
y2546	NP_669851.1
y2548	NP_669852.1
y2549	NP_669853.1
y2550	NP_669854.1
y2551	NP_669855.1
y2552	NP_669856.1
y2553	NP_669857.1
y2554	NP_669858.1
y2555	NP_669859.1
y2556	NP_669860.1
y2557	NP_669861.1
y2558	NP_669862.1
y2559	NP_669863.1
y2560	NP_669864.1
y2561	NP_669865.1
y2562	NP_669866.1
y5003	YP_003169746.1
y2563	NP_669867.2
y2564	NP_669868.1
y2565	NP_669869.1
y2566	NP_669870.1
y2567	NP_669871.1
y2568	NP_669872.1
y2569	NP_669873.1
y2570	NP_669874.1
y2571	NP_669875.1
y2573	NP_669876.1
y2572	NP_669877.1
y2574	NP_669878.1
y2575	NP_669879.1
y2576	NP_669880.1
y2577	NP_669881.1
y2578	NP_669882.1
y2579	NP_669883.1
y2580	NP_669884.1
y2581	NP_669885.1
y2582	NP_669886.1
y2583	NP_669887.1
y2584	NP_669888.1
y2585	NP_669889.1
y2586	NP_669890.1
y2587	NP_669891.1
y2588	NP_669892.1
y2589	NP_669893.1
y2590	NP_669894.1
y2591	NP_669895.1
y2592	NP_669896.1
y2593	NP_669897.1
y2594	NP_669898.1
y2595	NP_669899.1
y2596	NP_669900.1
y2597	NP_669901.1
y2598	NP_669902.1
y2599	NP_669903.1
y2600	NP_669904.1
y2601	NP_669905.1
y2602	NP_669906.1
y2603	NP_669907.1
y2605	NP_669908.1
y2604	NP_669909.1
y2606	NP_669910.1
y2607	NP_669911.1
y2608	NP_669912.1
y2610	NP_669913.2
y2609	NP_669914.1
y2611	NP_669915.1
y2612	NP_669916.1
y2613	NP_669917.2
y2615	NP_669918.1
y2616	NP_669919.1
y2617	NP_669920.1
y2618	NP_669921.1
y2619	NP_669922.1
y2620	NP_669923.1
y2621	NP_669924.1
y2622	NP_669925.1
y2623	NP_669926.1
y2624	NP_669927.1
y2625	NP_669928.1
y2626	NP_669929.1
y2627	NP_669930.1
y2628	NP_669931.1
y2629	NP_669932.1
y2630	NP_669933.1
y2631	NP_669934.1
y2633	NP_669935.1
y2634	NP_669936.1
y2635	NP_669937.1
y2636	NP_669938.1
y2637	NP_669939.1
y2638	NP_669940.1
y2639	NP_669941.1
y2640	NP_669942.1
y2641	NP_669943.1
y2642	NP_669944.1
y2643	NP_669945.1
y2644	NP_669946.1
y2645	NP_669947.2
y2646	NP_669948.2
y2647	NP_669949.1
y2648	NP_669950.1
y2649	NP_669951.1
y2650	NP_669952.1
y2651	NP_669953.1
y2652	NP_669954.1
y2653	NP_669955.1
y2654	NP_669956.1
y2655	NP_669957.1
y2657	NP_669958.1
y2656	NP_669959.1
y2658	NP_669960.1
y2659	NP_669961.1
y2660	NP_669962.1
y2661	NP_669963.1
y2662	NP_669964.1
y2663	NP_669965.1
y2664	NP_669966.1
y2665	NP_669967.1
y2666	NP_669968.1
y2667	NP_669969.1
y2668	NP_669970.1
y2669	NP_669971.1
y2670	NP_669972.1
y2671	NP_669973.1
y2672	NP_669974.1
y2673	NP_669975.1
y2674	NP_669976.1
y2675	NP_669977.1
y2676	NP_669978.1
y2677	NP_669979.1
y2678	NP_669980.1
y2679	NP_669981.1
y2680	NP_669982.1
y2681	NP_669983.1
y2682	NP_669984.1
y2683	NP_669985.1
y2684	NP_669986.1
y2685	NP_669987.1
y2686	NP_669988.1
y2687	NP_669989.1
y2688	NP_669990.1
y2689	NP_669991.1
y2690	NP_669992.1
y2691	NP_669993.1
y2692	NP_669994.1
y2694	NP_669995.1
y2693	NP_669996.1
y2695	NP_669997.1
y2696	NP_669998.1
y2697	NP_669999.1
y2698	NP_670000.1
y2699	NP_670001.1
y2700	NP_670002.1
y2701	NP_670003.1
y2702	NP_670004.1
y2703	NP_670005.1
y2704	NP_670006.1
y2705	NP_670007.1
y2706	NP_670008.1
y2707	NP_670009.1
y2708	NP_670010.1
y2709	NP_670011.1
y2710	NP_670012.1
y2711	NP_670013.1
y2712	NP_670014.1
y2713	NP_670015.1
y2714	NP_670016.1
y2715	NP_670017.1
y2716	NP_670018.1
y2717	NP_670019.1
y2718	NP_670020.1
y2721	NP_670021.1
y2720	NP_670022.1
y2722	NP_670023.1
y2723	NP_670024.1
y2724	NP_670025.1
y2725	NP_670026.1
y2726	NP_670027.1
y2727	NP_670028.1
y2728	NP_670029.1
y2729	NP_670030.1
y2730	NP_670031.1
y2731	NP_670032.1
y2732	NP_670033.1
y2733	NP_670034.1
y2734	NP_670035.1
y2735	NP_670036.1
y2736	NP_670037.1
y2737	NP_670038.1
y2739	NP_670039.1
y2738	NP_670040.1
y2740	NP_670041.2
y2741	NP_670042.1
y2742	NP_670043.1
y2743	NP_670044.1
y2744	NP_670045.1
y2745	NP_670046.1
y2746	NP_670047.1
y2747	NP_670048.1
y2749	NP_670049.1
y2748	NP_670050.1
y2750	NP_670051.1
y2751	NP_670052.1
y2752	NP_670053.1
y2753	NP_670054.1
y2755	NP_670055.1
y2754	NP_670056.1
y2756	NP_670057.1
y2757	NP_670058.1
y2758	NP_670059.1
y2759	NP_670060.1
y2760	NP_670061.2
y2761	NP_670062.1
y2762	NP_670063.1
y2763	NP_670064.1
y2764	NP_670065.1
y2765	NP_670066.1
y2766	NP_670067.1
y2767	NP_670068.1
y2768	NP_670069.1
y2769	NP_670070.1
y2770	NP_670071.1
y2771	NP_670072.1
y2772	NP_670073.1
y2773	NP_670074.1
y2774	NP_670075.1
y2775	NP_670076.1
y2776	NP_670077.1
y2777	NP_670078.1
y2778	NP_670079.1
y2779	NP_670080.1
y2781	NP_670081.1
y2780	NP_670082.1
y2782	NP_670083.1
y2783	NP_670084.1
y2784	NP_670085.1
y2785	NP_670086.1
y2786	NP_670087.1
y2787	NP_670088.1
y2788	NP_670089.1
y2789	NP_670090.1
y2790	NP_670091.1
y2791	NP_670092.1
y2792	NP_670093.2
y2793	NP_670094.1
y2794	NP_670095.1
y2796	NP_670096.1
y2797	NP_670097.1
y2798	NP_670098.1
y2800	NP_670099.1
y2799	NP_670100.1
y2801	NP_670101.1
y2802	NP_670102.1
y2803	NP_670103.1
y2805	NP_670104.1
y2804	NP_670105.1
y2806	NP_670106.1
y2807	NP_670107.1
y2808	NP_670108.1
y2809	NP_670109.1
y2810	NP_670110.1
y2811	NP_670111.1
y2812	NP_670112.1
y2813	NP_670113.1
y2814	NP_670114.1
y2815	NP_670115.1
y2816	NP_670116.1
y2817	NP_670117.1
y2818	NP_670118.1
y2819	NP_670119.1
y2820	NP_670120.1
y2821	NP_670121.1
y2822	NP_670122.1
y2823	NP_670123.1
y2824	NP_670124.1
y2825	NP_670125.1
y2826	NP_670126.1
y2827	NP_670127.1
y2828	NP_670128.1
y2829	NP_670129.2
y2830	NP_670130.1
y2831	NP_670131.1
y2832	NP_670132.1
y2833	NP_670133.1
y2834	NP_670134.1
y2835	NP_670135.1
y2836	NP_670136.1
y2837	NP_670137.1
y2839	NP_670138.1
y2838	NP_670139.1
y2840	NP_670140.1
y2842	NP_670141.1
y2841	NP_670142.1
y2843	NP_670143.1
y2844	NP_670144.1
y2845	NP_670145.1
y2846	NP_670146.1
y2847	NP_670147.1
y2848	NP_670148.1
y2849	NP_670149.1
y2850	NP_670150.1
y2851	NP_670151.1
y2853	NP_670152.1
y2852	NP_670153.1
y2854	NP_670154.1
y2855	NP_670155.1
y2856	NP_670156.1
y2857	NP_670157.1
y2858	NP_670158.1
y2859	NP_670159.1
y2860	NP_670160.1
y2861	NP_670161.1
y2862	NP_670162.1
y2863	NP_670163.1
y2864	NP_670164.1
y2865	NP_670165.1
y2866	NP_670166.1
y2867	NP_670167.1
y2868	NP_670168.1
y2869	NP_670169.1
y2870	NP_670170.1
y2871	NP_670171.1
y2872	NP_670172.1
y2873	NP_670173.1
y2874	NP_670174.1
y2875	NP_670175.1
y2876	NP_670176.1
y2877	NP_670177.1
y2878	NP_670178.1
y2879	NP_670179.1
y2880	NP_670180.1
y2881	NP_670181.1
y2882	NP_670182.1
y2883	NP_670183.1
y2884	NP_670184.1
y2885	NP_670185.1
y2886	NP_670186.1
y2887	NP_670187.1
y2888	NP_670188.1
y2889	NP_670189.1
y2890	NP_670190.1
y2891	NP_670191.1
y2892	NP_670192.1
y2893	NP_670193.1
y2894	NP_670194.1
y2895	NP_670195.1
y2896	NP_670196.1
y2897	NP_670197.1
y2899	NP_670198.1
y2898	NP_670199.1
y2900	NP_670200.1
y2901	NP_670201.2
y2902	NP_670202.1
y2903	NP_670203.1
y2904	NP_670204.1
y2905	NP_670205.1
y2906	NP_670206.1
y2907	NP_670207.1
y2908	NP_670208.1
y2909	NP_670209.1
y2910	NP_670210.1
y2911	NP_670211.1
y2912	NP_670212.1
y2913	NP_670213.1
y2914	NP_670214.1
y2915	NP_670215.1
y2916	NP_670216.1
y2917	NP_670217.1
y2919	NP_670218.1
y2918	NP_670219.1
y2920	NP_670220.1
y2921	NP_670221.1
y2922	NP_670222.1
y2923	NP_670223.2
y2924	NP_670224.1
y2925	NP_670225.1
y2926	NP_670226.1
y2927	NP_670227.1
y2928	NP_670228.1
y2929	NP_670229.1
y2930	NP_670230.1
y2931	NP_670231.1
y2932	NP_670232.1
y2933	NP_670233.1
y2934	NP_670234.1
y2935	NP_670235.1
y2936	NP_670236.1
y2937	NP_670237.1
y2938	NP_670238.1
y2939	NP_670239.1
y2940	NP_670240.1
y2941	NP_670241.1
y2942	NP_670242.1
y2943	NP_670243.1
y2944	NP_670244.1
y2945	NP_670245.1
y2946	NP_670246.1
y2947	NP_670247.1
y2948	NP_670248.1
y2949	NP_670249.1
y2950	NP_670250.1
y2951	NP_670251.1
y2952	NP_670252.1
y2953	NP_670253.1
y2954	NP_670254.1
y2955	NP_670255.1
y2956	NP_670256.1
y2957	NP_670257.1
y2958	NP_670258.1
y2960	NP_670259.1
y2959	NP_670260.1
y2961	NP_670261.1
y2963	NP_670262.1
y2962	NP_670263.1
y2964	NP_670264.1
y2965	NP_670265.1
y2966	NP_670266.1
y2967	NP_670267.1
y2968	NP_670268.1
y2969	NP_670269.1
y2970	NP_670270.1
y2971	NP_670271.1
y2972	NP_670272.1
y2973	NP_670273.1
y2974	NP_670274.1
y2975	NP_670275.2
y2976	NP_670276.1
y2977	NP_670277.1
y2978	NP_670278.1
y2979	NP_670279.1
y2980	NP_670280.1
y2981	NP_670281.1
y2982	NP_670282.1
y2983	NP_670283.1
y2984	NP_670284.1
y2985	NP_670285.1
y2986	NP_670286.1
y2987	NP_670287.1
y2988	NP_670288.1
y2989	NP_670289.1
y2990	NP_670290.1
y2991	NP_670291.1
y2992	NP_670292.1
y2993	NP_670293.1
y2994	NP_670294.1
y2995	NP_670295.1
y2996	NP_670296.1
y2997	NP_670297.1
y2998	NP_670298.1
y2999	NP_670299.1
y3000	NP_670300.1
y3001	NP_670301.1
y3002	NP_670302.1
y3003	NP_670303.1
y3004	NP_670304.1
y3005	NP_670305.1
y3006	NP_670306.1
y3007	NP_670307.1
y3008	NP_670308.1
y3009	NP_670309.1
y3010	NP_670310.1
y3011	NP_670311.1
y3012	NP_670312.1
y3013	NP_670313.1
y3014	NP_670314.1
y3015	NP_670315.1
y3016	NP_670316.1
y3017	NP_670317.1
y3018	NP_670318.1
y3019	NP_670319.1
y3020	NP_670320.1
y3021	NP_670321.1
y3023	NP_670322.1
y3022	NP_670323.1
y3024	NP_670324.1
y3025	NP_670325.1
y3026	NP_670326.1
y3027	NP_670327.1
y3028	NP_670328.1
y3029	NP_670329.1
y3030	NP_670330.1
y3031	NP_670331.1
y3032	NP_670332.1
y3033	NP_670333.1
y3034	NP_670334.1
y3035	NP_670335.1
y3036	NP_670336.1
y3037	NP_670337.1
y3038	NP_670338.1
y3040	NP_670339.1
y3039	NP_670340.1
y3041	NP_670341.2
y3042	NP_670342.1
y3043	NP_670343.1
y3044	NP_670344.1
y3045	NP_670345.1
y3047	NP_670346.1
y3048	NP_670347.1
y3049	NP_670348.1
y3050	NP_670349.1
y3051	NP_670350.1
y3052	NP_670351.1
y3053	NP_670352.1
y3054	NP_670353.1
y3055	NP_670354.1
y3056	NP_670355.2
y3057	NP_670356.1
y3058	NP_670357.1
y3059	NP_670358.1
y3060	NP_670359.1
y3061	NP_670360.1
y3062	NP_670361.1
y3063	NP_670362.1
y3064	NP_670363.1
y3065	NP_670364.1
y3066	NP_670365.1
y3067	NP_670366.1
y3068	NP_670367.1
y3069	NP_670368.1
y3070	NP_670369.1
y3071	NP_670370.1
y3072	NP_670371.1
y3073	NP_670372.1
y3074	NP_670373.1
y3075	NP_670374.1
y3076	NP_670375.2
y3077	NP_670376.1
y3078	NP_670377.1
y3079	NP_670378.1
y3080	NP_670379.1
y3081	NP_670380.1
y3082	NP_670381.1
y3083	NP_670382.1
y3084	NP_670383.1
y3085	NP_670384.1
y3086	NP_670385.1
y3087	NP_670386.1
y3088	NP_670387.1
y3089	NP_670388.1
y3090	NP_670389.1
y3091	NP_670390.1
y3092	NP_670391.1
y3093	NP_670392.1
y3094	NP_670393.1
y3095	NP_670394.1
y3096	NP_670395.1
y3097	NP_670396.1
y3098	NP_670397.2
y3099	NP_670398.1
y3100	NP_670399.1
y3101	NP_670400.1
y3103	NP_670402.1
y3104	NP_670403.1
y3105	NP_670404.1
y3106	NP_670405.1
y3107	NP_670406.1
y3108	NP_670407.1
y3109	NP_670408.1
y3110	NP_670409.1
y3111	NP_670410.1
y3112	NP_670411.1
y3113	NP_670412.1
y3114	NP_670413.1
y3115	NP_670414.1
y3116	NP_670415.1
y3117	NP_670416.1
y3118	NP_670417.1
y3119	NP_670418.1
y3120	NP_670419.1
y3121	NP_670420.1
y3122	NP_670421.1
y3123	NP_670422.1
y3124	NP_670423.1
y3125	NP_670424.1
y3126	NP_670425.1
y3127	NP_670426.1
y3128	NP_670427.1
y3129	NP_670428.1
y3130	NP_670429.1
y3131	NP_670430.1
y3132	NP_670431.1
y3133	NP_670432.1
y3134	NP_670433.1
y3136	NP_670434.1
y3135	NP_670435.1
y3137	NP_670436.2
y3138	NP_670437.1
y3139	NP_670438.1
y3140	NP_670439.2
y3141	NP_670440.1
y3142	NP_670441.1
y3143	NP_670442.1
y3144	NP_670443.1
y3145	NP_670444.1
y3146	NP_670445.1
y3147	NP_670446.1
y3148	NP_670447.1
y3149	NP_670448.1
y3150	NP_670449.1
y3151	NP_670450.1
y3152	NP_670451.1
y3153	NP_670452.1
y3154	NP_670453.1
y3155	NP_670454.1
y3156	NP_670455.1
y3157	NP_670456.1
y3158	NP_670457.1
y3159	NP_670458.1
y3160	NP_670459.1
y3161	NP_670460.1
y3162	NP_670461.1
y3163	NP_670462.1
y3164	NP_670463.1
y3165	NP_670464.1
y3166	NP_670465.1
y3167	NP_670466.1
y3168	NP_670467.1
y3169	NP_670468.1
y3170	NP_670469.1
y3171	NP_670470.1
y3172	NP_670471.1
y3173	NP_670472.1
y3174	NP_670473.1
y3175	NP_670474.1
y3176	NP_670475.1
y3177	NP_670476.1
y3178	NP_670477.1
y3179	NP_670478.1
y3180	NP_670479.1
y3181	NP_670480.2
y3182	NP_670481.1
y3183	NP_670482.1
y3184	NP_670483.1
y3185	NP_670484.2
y3186	NP_670485.1
y3187	NP_670486.1
y3188	NP_670487.1
y3189	NP_670488.1
y3190	NP_670489.1
y3191	NP_670490.1
y3192	NP_670491.1
y3193	NP_670492.1
y3194	NP_670493.1
y3195	NP_670494.1
y3196	NP_670495.1
y3197	NP_670496.1
y3198	NP_670497.1
y3199	NP_670498.1
y3200	NP_670499.1
y3201	NP_670500.1
y3202	NP_670501.1
y3203	NP_670502.1
y3204	NP_670503.1
y3205	NP_670504.1
y3206	NP_670505.1
y3207	NP_670506.1
y3208	NP_670507.1
y3209	NP_670508.1
y3210	NP_670509.1
y3211	NP_670510.1
y3212	NP_670511.1
y3213	NP_670512.1
y3214	NP_670513.1
y3215	NP_670514.1
y3216	NP_670515.1
y3217	NP_670516.1
y3218	NP_670517.1
y3219	NP_670518.1
y3220	NP_670519.1
y3221	NP_670520.1
y3222	NP_670521.1
y3223	NP_670522.1
y3224	NP_670523.1
y3225	NP_670524.1
y3226	NP_670525.1
y3227	NP_670526.1
y3228	NP_670527.1
y3229	NP_670528.1
y3230	NP_670529.1
y3231	NP_670530.1
y3232	NP_670531.1
y3233	NP_670532.1
y3234	NP_670533.2
y3235	NP_670534.2
y3236	NP_670535.1
y3237	NP_670536.1
y3238	NP_670537.1
y3239	NP_670538.1
y3240	NP_670539.1
y3241	NP_670540.1
y3242	NP_670541.1
y3243	NP_670542.1
y3244	NP_670543.1
y3245	NP_670544.1
y3246	NP_670545.1
y3247	NP_670546.1
y3248	NP_670547.1
y3249	NP_670548.1
y3250	NP_670549.1
y3251	NP_670550.1
y3252	NP_670551.1
y3253	NP_670552.1
y3254	NP_670553.1
y3255	NP_670554.1
y3256	NP_670555.1
y3257	NP_670556.1
y3258	NP_670557.1
y3259	NP_670558.1
y3260	NP_670559.1
y3262	NP_670560.1
y3261	NP_670561.1
y3263	NP_670562.1
y3265	NP_670563.1
y3264	NP_670564.1
y3266	NP_670565.1
y3267	NP_670566.1
y3268	NP_670567.1
y3269	NP_670568.1
y3270	NP_670569.1
y3271	NP_670570.1
y3272	NP_670571.1
y3273	NP_670572.2
y3274	NP_670573.1
y3275	NP_670574.1
y3276	NP_670575.1
y3277	NP_670576.2
y3278	NP_670577.1
y3279	NP_670578.1
y3280	NP_670579.1
y3281	NP_670580.1
y3282	NP_670581.1
y3283	NP_670582.1
y3284	NP_670583.1
y3285	NP_670584.1
y3286	NP_670585.1
y3288	NP_670586.1
y3287	NP_670587.1
y3289	NP_670588.1
y3290	NP_670589.1
y3291	NP_670590.1
y3292	NP_670591.1
y3293	NP_670592.1
y3294	NP_670593.1
y3295	NP_670594.2
y3296	NP_670595.1
y3297	NP_670596.1
y3298	NP_670597.1
y3299	NP_670598.1
y3300	NP_670599.1
y3301	NP_670600.1
y3302	NP_670601.1
y3303	NP_670602.2
y3304	NP_670603.1
y3305	NP_670604.1
y3306	NP_670605.1
y3307	NP_670606.1
y3308	NP_670607.1
y3309	NP_670608.1
y3310	NP_670609.1
y3311	NP_670610.1
y3312	NP_670611.1
y3313	NP_670612.1
y3314	NP_670613.1
y3315	NP_670614.1
y3316	NP_670615.1
y3317	NP_670616.1
y3318	NP_670617.1
y3319	NP_670618.1
y3320	NP_670619.1
y3321	NP_670620.1
y3322	NP_670621.2
y3323	NP_670622.1
y3324	NP_670623.1
y3325	NP_670624.1
y3326	NP_670625.1
y3327	NP_670626.1
y3328	NP_670627.1
y3329	NP_670628.1
y3330	NP_670629.2
y3331	NP_670630.2
y3332	NP_670631.1
y3333	NP_670632.1
y3334	NP_670633.1
y3335	NP_670634.1
y3336	NP_670635.1
y3337	NP_670636.1
y3338	NP_670637.1
y3339	NP_670638.1
y3340	NP_670639.1
y3341	NP_670640.2
y3342	NP_670641.1
y3343	NP_670642.1
y3344	NP_670643.1
y3345	NP_670644.1
y3346	NP_670645.1
y3347	NP_670646.1
y3348	NP_670647.1
y3349	NP_670648.1
y3350	NP_670649.1
y3351	NP_670650.1
y3352	NP_670651.1
y3353	NP_670652.1
y3354	NP_670653.1
y3356	NP_670654.1
y3355	NP_670655.1
y3357	NP_670656.1
y3358	NP_670657.1
y3359	NP_670658.1
y3360	NP_670659.1
y3361	NP_670660.1
y3362	NP_670661.1
y3363	NP_670662.1
y3364	NP_670663.1
y3365	NP_670664.1
y3366	NP_670665.1
y3367	NP_670666.1
y3368	NP_670667.1
y3369	NP_670668.1
y3370	NP_670669.1
y3371	NP_670670.1
y3372	NP_670671.1
y3373	NP_670672.1
y3374	NP_670673.1
y3375	NP_670674.1
y3376	NP_670675.1
y3377	NP_670676.1
y3378	NP_670677.1
y3379	NP_670678.1
y3380	NP_670679.1
y3381	NP_670680.1
y3382	NP_670681.1
y3383	NP_670682.1
y3384	NP_670683.1
y3385	NP_670684.1
y3386	NP_670685.1
y3387	NP_670686.1
y3388	NP_670687.1
y3389	NP_670688.1
y3390	NP_670689.1
y3391	NP_670690.1
y3392	NP_670691.1
y3393	NP_670692.1
y3394	NP_670693.1
y3395	NP_670694.1
y3396	NP_670695.1
y3397	NP_670696.1
y3398	NP_670697.1
y3399	NP_670698.1
y3400	NP_670699.1
y3401	NP_670700.1
y3402	NP_670701.1
y3403	NP_670702.1
y3404	NP_670703.1
y3406	NP_670704.1
y3405	NP_670705.1
y3407	NP_670706.1
y3408	NP_670707.1
y3410	NP_670708.1
y3409	NP_670709.1
y3411	NP_670710.1
y3412	NP_670711.1
y3414	NP_670712.1
y3413	NP_670713.1
y3415	NP_670714.1
y3417	NP_670715.1
y3418	NP_670716.1
y3419	NP_670717.1
y3420	NP_670718.1
y3421	NP_670719.1
y3422	NP_670720.1
y3423	NP_670721.1
y3424	NP_670722.1
y3425	NP_670723.1
y3426	NP_670724.1
y3427	NP_670725.1
y3428	NP_670726.1
y3429	NP_670727.1
y3430	NP_670728.1
y3431	NP_670729.1
y3432	NP_670730.1
y3433	NP_670731.1
y3434	NP_670732.1
y3435	NP_670733.1
y3436	NP_670734.1
y3437	NP_670735.1
y3438	NP_670736.1
y3439	NP_670737.1
y3440	NP_670738.1
y3441	NP_670739.1
y3442	NP_670740.1
y3443	NP_670741.1
y3444	NP_670742.1
y3445	NP_670743.1
y3446	NP_670744.1
y3447	NP_670745.1
y3448	NP_670746.1
y3449	NP_670747.1
y3450	NP_670748.1
y3451	NP_670749.1
y3452	NP_670750.1
y3453	NP_670751.1
y3454	NP_670752.1
y3455	NP_670753.1
y3456	NP_670754.1
y3457	NP_670755.2
y3458	NP_670756.1
y3459	NP_670757.1
y3460	NP_670758.1
y3461	NP_670759.1
y3462	NP_670760.1
y3463	NP_670761.1
y3464	NP_670762.1
y3465	NP_670763.1
y3466	NP_670764.1
y3467	NP_670765.1
y3468	NP_670766.1
y3469	NP_670767.1
y3470	NP_670768.1
y3471	NP_670769.1
y3472	NP_670770.1
y3474	NP_670771.1
y3475	NP_670772.1
y3476	NP_670773.1
y3477	NP_670774.1
y3478	NP_670775.1
y3479	NP_670776.1
y3480	NP_670777.1
y3481	NP_670778.1
y3482	NP_670779.1
y3483	NP_670780.1
y3484	NP_670781.1
y3485	NP_670782.1
y3486	NP_670783.1
y3487	NP_670784.1
y3488	NP_670785.1
y3489	NP_670786.1
y3490	NP_670787.1
y3491	NP_670788.1
y3492	NP_670789.1
y3493	NP_670790.1
y3494	NP_670791.1
y3495	NP_670792.1
y3496	NP_670793.1
y3497	NP_670794.1
y3498	NP_670795.1
y3499	NP_670796.1
y3500	NP_670797.1
y3501	NP_670798.1
y3502	NP_670799.1
y3503	NP_670800.1
y3504	NP_670801.1
y3505	NP_670802.1
y3506	NP_670803.1
y3507	NP_670804.1
y3508	NP_670805.1
y3509	NP_670806.1
y3510	NP_670807.1
y3511	NP_670808.1
y3512	NP_670809.1
y3513	NP_670810.1
y3514	NP_670811.1
y3515	NP_670812.1
y3516	NP_670813.2
y3517	NP_670814.1
y3518	NP_670815.1
y3519	NP_670816.1
y3520	NP_670817.1
y3521	NP_670818.1
y3522	NP_670819.1
y3523	NP_670820.1
y3524	NP_670821.1
y3525	NP_670822.2
y3526	NP_670823.1
y3527	NP_670824.1
y3528	NP_670825.1
y3529	NP_670826.1
y3530	NP_670827.1
y3531	NP_670828.1
y3532	NP_670829.2
y3533	NP_670830.1
y3534	NP_670831.2
y3535	NP_670832.1
y3536	NP_670833.1
y3537	NP_670834.1
y3538	NP_670835.1
y3539	NP_670836.1
y3540	NP_670837.1
y3541	NP_670838.1
y3542	NP_670839.1
